nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,no_especificado
Identificador de la vivienda,10,C,folioviv,,[0100001901-3260593818],
Tipo de vivienda,1,C,tipo_viv,tipo_viv,[1-7],&
Material de paredes,1,C,mat_pared,mat_pared,[1-8],
Material de techos,2,C,mat_techos,mat_techos,[01-10],
Material de pisos,1,C,mat_pisos,mat_pisos,[1-3],&
Antigüedad de la vivienda,2,N,antiguedad,,[0-99],
Antigüedad no especificada de la vivienda,1,C,antigua_ne,,[1],
Tiene cocina,1,C,cocina,si_no,[1-2],
Utiliza cocina de dormitorio,1,C,cocina_dor,si_no,[1-2],
Cuartos dormitorio,2,N,cuart_dorm,,[1-99],
Número de cuartos,2,N,num_cuarto,,[1-99],
Lugar donde cocinan,1,C,lugar_coc,lugar_coc,[1-6],
Agua entubada,1,C,agua_ent,agua_ent,[1-3],
Abastecimiento de agua,1,C,ab_agua,ab_agua,[1-7],
Agua no entubada,1,C,agua_noe,agua_noe,[1-6],
Dotación de agua,1,C,dotac_agua,dotac_agua,[1-5],&
Tiene excusado,1,C,excusado,excusado,[1-3],
Uso compartido del sanitario,1,C,uso_compar,si_no,[1-2],
Sanitario conexión agua,1,C,sanit_agua,sanit_agua,[1-3],
Dispone de biodigestor,1,C,biodigest,si_no,[1-2],
Baño con excusado y regadera,1,N,bano_comp,,[0-9],
Baño solo con excusado,1,N,bano_excus,,[0-9],
Baño solo con regadera,1,N,bano_regad,,[0-9],
Destino de drenaje,1,C,drenaje,drenaje,[1-5],
Disponibilidad eléctrica,1,C,disp_elect,disp_elect,[1-5],
Total de focos,2,N,focos,,[0-99],
Número de focos ahorradores,2,N,focos_ahor,,[0-99],
Tipo de combustible,1,C,combus,combus,[1-7],&
Estufa o fogón con chimenea,1,C,fogon_chi,fogon_chi,[1-2],
Eliminación de basura,1,C,eli_basura,eli_basura,[1-8],
Tipo de tenencia de la vivienda,1,C,tenencia,tenencia,[1-6],
Monto de la renta mensual,6,N,renta,,[1-999999],
Estimación del pago de renta,9,N,estim_pago,,[1-999999999],-1
Pago de vivienda,6,N,pago_viv,,[1-999999],
Pagó el mes pasado,1,C,pago_mesp,si_no,[1-2],
Tipo de adquisición,1,C,tipo_adqui,tipo_adqui,[1-6],
Compró la vivienda usada,1,C,viv_usada,si_no,[1-2],
Financiamiento INFONAVIT,1,C,finan_1,tipo_finan,[1],
Financiamiento FOVISSSTE,1,C,finan_2,tipo_finan,[2],
Financiamiento PEMEX,1,C,finan_3,tipo_finan,[3],
Financiamiento FONHAPO,1,C,finan_4,tipo_finan,[4],
Financiamiento crédito bancario,1,C,finan_5,tipo_finan,[5],
Financiamiento otra institución,1,C,finan_6,tipo_finan,[6],
Financiamiento préstamo familiar,1,C,finan_7,tipo_finan,[7],
Financiamiento con sus propios recursos,1,C,finan_8,tipo_finan,[8],
Identificador del primer dueño,2,C,num_dueno1,,[01-99],
Hogar del primer dueño,1,C,hog_dueno1,,[1-9],
Identificador del segundo dueño,2,C,num_dueno2,,[01-99],
Hogar del segundo dueño,1,C,hog_dueno2,,[1-9],
Escrituras de la vivienda,1,C,escrituras,escrituras,[1-4],
Dispone de lavadero,1,C,lavadero,si_no,[1-2],
Dispone de fregadero,1,C,fregadero,si_no,[1-2],
Dispone de regadera,1,C,regadera,si_no,[1-2],
Dispone de tinaco,1,C,tinaco_azo,si_no,[1-2],
Dispone de cisterna,1,C,cisterna,si_no,[1-2],
Dispone de pileta o tanque,1,C,pileta,si_no,[1-2],
Dispone de calentador solar de agua,1,C,calent_sol,si_no,[1-2],
Dispone de calentador de gas,1,C,calent_gas,si_no,[1-2],
Dispone de calentador de leña,1,C,calen_lena,si_no,[1-2],
Dispone de medidor de luz,1,C,medid_luz,si_no,[1-2],
Dispone de bomba de agua,1,C,bomba_agua,si_no,[1-2],
Dispone de tanque de gas estacionario,1,C,tanque_gas,si_no,[1-2],
Dispone de aire acondicionado,1,C,aire_acond,si_no,[1-2],
Dispone de calefacción,1,C,calefacc,si_no,[1-2],
Problema por grietas,1,C,p_grietas,si_no_nosabe,"[1-2, 9]",
Problema por pandeos,1,C,p_pandeos,si_no_nosabe,"[1-2, 9]",
Problema por levantamientos,1,C,p_levanta,si_no_nosabe,"[1-2, 9]",
Problema por humedad,1,C,p_humedad,si_no_nosabe,"[1-2, 9]",
Problema por fracturas,1,C,p_fractura,si_no_nosabe,"[1-2, 9]",
Problema con el sistema eléctrico,1,C,p_electric,si_no_nosabe,"[1-2, 9]",
Problema con las tuberías de agua,1,C,p_tuberias,si_no_nosabe,"[1-2, 9]",
Total de residentes de la vivienda,2,N,tot_resid,,[1-99],
Total de residentes hombres,2,N,tot_hom,,[1-99],
Total de residentes mujeres,2,N,tot_muj,,[1-99],
Total de hogares en la vivienda,1,N,tot_hog,,[1-9],
Ubicación geográfica,5,C,ubica_geo,ubica_geo,[01001-32056],
Tamaño de localidad,1,C,tam_loc,tam_loc,[1-4],
Estrato socioeconómico,1,C,est_socio,est_socio,[1-4],
Estrato de diseño muestral,3,C,est_dis,,[001-681],
Unidad Primaria de Muestreo,7,C,upm,,[0000001-0010593],
Factor de expansión,5,N,factor,,[4-7127],
Viviendas PROCAPTAR,1, ,procaptar,procaptar,[0-1],
