ubicageo_c,ahirregu_a,rensnn1,rensnn2
01001,1,1,1
01002,1,1,2
01003,1,1,1
01004,1,1,1
01005,1,1,1
01006,1,1,2
01007,1,1,1
01008,1,1,1
01009,1,1,2
01010,1,1,1
01011,1,1,1
02001,1,1,1
02002,1,2,0
02003,1,1,2
02004,1,1,1
02005,1,1,1
03001,1,1,2
03002,1,2,0
03003,1,1,9
03008,1,1,2
03009,1,1,2
04001,1,1,1
04002,1,1,1
04003,1,2,0
04004,1,1,1
04005,1,2,0
04006,1,2,0
04007,1,1,2
04008,1,2,0
04009,1,1,1
04010,1,2,0
04011,1,1,1
05001,1,2,0
05002,1,2,0
05003,1,1,2
05004,1,1,1
05005,1,1,2
05006,1,1,1
05007,1,1,2
05008,1,2,0
05009,1,2,0
05010,1,1,2
05011,1,1,1
05012,1,2,0
05013,1,1,1
05014,1,2,0
05015,1,1,2
05016,1,2,0
05017,1,1,2
05018,1,2,0
05019,1,1,2
05020,1,2,0
05021,1,2,0
05022,1,1,2
05023,1,2,0
05024,1,1,2
05025,1,1,2
05026,1,2,0
05027,1,1,1
05028,1,1,2
05029,1,2,0
05030,1,1,1
05031,1,1,1
05032,1,1,2
05033,1,1,1
05034,1,2,0
05035,1,2,0
05036,1,2,0
05037,1,1,2
05038,1,1,1
06001,1,2,0
06002,1,1,2
06003,1,1,9
06004,1,1,2
06005,1,2,0
06006,1,1,1
06007,1,1,1
06008,1,1,2
06009,1,1,1
06010,1,1,2
07001,1,2,0
07002,1,2,0
07003,1,2,0
07004,1,2,0
07005,1,2,0
07006,1,2,0
07007,1,2,0
07008,1,2,0
07009,1,2,0
07010,1,2,0
07011,1,2,0
07012,1,2,0
07013,1,1,1
07014,1,1,2
07015,1,2,0
07016,1,2,0
07017,1,1,2
07018,1,2,0
07019,1,1,1
07020,1,1,1
07021,1,2,0
07022,1,2,0
07023,1,1,2
07024,1,2,0
07025,1,2,0
07026,1,2,0
07027,1,2,0
07028,1,2,0
07029,1,2,0
07030,1,2,0
07031,1,2,0
07032,1,2,0
07033,1,2,0
07034,1,2,0
07035,1,2,0
07036,1,2,0
07037,1,2,0
07038,1,2,0
07039,1,2,0
07040,1,1,2
07041,1,2,0
07042,1,1,2
07043,1,2,0
07044,1,2,0
07045,1,2,0
07046,1,2,0
07047,1,2,0
07048,1,2,0
07049,1,1,2
07050,1,2,0
07051,1,2,0
07052,1,2,0
07053,1,2,0
07054,1,2,0
07055,1,2,0
07056,1,2,0
07057,1,2,0
07058,1,2,0
07059,1,1,2
07060,1,2,0
07061,1,2,0
07062,1,2,0
07063,1,2,0
07064,1,2,0
07065,1,1,2
07066,1,2,0
07067,1,1,2
07068,1,1,1
07069,1,1,1
07070,1,2,0
07071,1,2,0
07072,1,2,0
07073,1,2,0
07074,1,1,1
07075,1,2,0
07076,1,1,2
07077,1,1,2
07078,1,1,2
07079,1,2,0
07080,1,2,0
07081,1,2,0
07082,1,2,0
07083,1,1,2
07084,1,2,0
07085,1,2,0
07086,1,2,0
07087,1,2,0
07088,1,2,0
07089,1,1,1
07090,1,2,0
07091,1,2,0
07092,1,1,1
07093,1,2,0
07094,1,2,0
07096,1,2,0
07097,1,1,1
07098,1,2,0
07099,1,2,0
07100,1,1,2
07101,1,1,1
07102,1,2,0
07103,1,2,0
07104,1,2,0
07105,1,2,0
07106,1,1,2
07107,1,2,0
07108,1,1,2
07109,1,2,0
07110,1,2,0
07111,1,1,2
07112,1,2,0
07113,1,2,0
07114,1,2,0
07115,1,2,0
07116,1,2,0
07117,1,2,0
07118,1,2,0
07119,1,2,0
07120,1,2,0
07121,1,2,0
07122,1,2,0
07123,1,2,0
07124,1,1,1
07125,1,2,0
08001,1,2,0
08002,1,1,1
08003,1,2,0
08004,1,1,2
08005,1,1,2
08006,1,2,0
08007,1,1,2
08008,1,2,0
08009,1,2,0
08010,1,1,2
08011,1,1,1
08012,1,2,0
08013,1,1,2
08014,1,1,2
08015,1,2,0
08016,1,2,0
08017,1,1,2
08018,1,1,2
08019,1,1,1
08020,1,1,2
08021,1,1,1
08022,1,2,0
08023,1,1,2
08024,1,1,2
08025,1,1,2
08026,1,1,2
08027,1,2,0
08028,1,1,2
08029,1,1,2
08030,1,1,2
08031,1,1,2
08032,1,1,2
08033,1,2,0
08034,1,1,2
08035,1,1,2
08036,1,2,0
08037,1,1,2
08038,1,2,0
08039,1,2,0
08040,1,1,2
08041,1,2,0
08042,1,2,0
08043,1,1,2
08044,1,2,0
08045,1,1,2
08046,1,2,0
08047,1,2,0
08048,1,2,0
08049,1,1,2
08050,1,1,2
08051,1,2,0
08052,1,1,2
