ubicageo_c,ahirregu_a,totalca1,totalca2,totalca3,totalca4,totalca5
1001,1,83,83,1100,14000,60000
1002,1,NA,NA,NA,NA,NA
1003,1,24,53,335.61,NS,NS
1004,1,13,13,73.59,773,3865
1005,1,23,23,151.26,1703,2618
1006,1,NA,NA,NA,NA,NA
1007,1,48,48,203.41,1308,NS
1008,1,10,11,39,150,400
1009,1,NA,NA,NA,NA,NA
1010,1,58,39,585.60,2320,6960
1011,1,10,10,423.37,985,NS
2001,1,166,99,2410,55303,NS
2002,1,NA,NA,NA,NA,NA
2003,1,NA,NA,NA,NA,NA
2004,1,7,20,5.50,382,1580
2005,1,26,26,618.24,1459,1706
3001,1,NA,NA,NA,NA,NA
3002,1,NA,NA,NA,NA,NA
3003,1,NSS,NSS,NSS,NSS,NSS
3008,1,NA,NA,NA,NA,NA
3009,1,NA,NA,NA,NA,NA
4001,1,4,4,3,4,23
4002,1,6,6,8,108,NS
4003,1,NA,NA,NA,NA,NA
4004,1,4,4,26.24,0,0
4005,1,NA,NA,NA,NA,NA
4006,1,NA,NA,NA,NA,NA
4007,1,NA,NA,NA,NA,NA
4008,1,NA,NA,NA,NA,NA
4009,1,1,4,73,878,NS
4010,1,NA,NA,NA,NA,NA
4011,1,40,40,8000,40,3974
5001,1,NA,NA,NA,NA,NA
5002,1,NA,NA,NA,NA,NA
5003,1,NA,NA,NA,NA,NA
5004,1,2,2,NS,NS,NS
5005,1,NA,NA,NA,NA,NA
5006,1,1,1,10,450,225
5007,1,NA,NA,NA,NA,NA
5008,1,NA,NA,NA,NA,NA
5009,1,NA,NA,NA,NA,NA
5010,1,NA,NA,NA,NA,NA
5011,1,3,3,3,37,118
5012,1,NA,NA,NA,NA,NA
5013,1,1,1,2,28,136
5014,1,NA,NA,NA,NA,NA
5015,1,NA,NA,NA,NA,NA
5016,1,NA,NA,NA,NA,NA
5017,1,NA,NA,NA,NA,NA
5018,1,NA,NA,NA,NA,NA
5019,1,NA,NA,NA,NA,NA
5020,1,NA,NA,NA,NA,NA
5021,1,NA,NA,NA,NA,NA
5022,1,NA,NA,NA,NA,NA
5023,1,NA,NA,NA,NA,NA
5024,1,NA,NA,NA,NA,NA
5025,1,NA,NA,NA,NA,NA
5026,1,NA,NA,NA,NA,NA
5027,1,2,2,14.24,488,NS
5028,1,NA,NA,NA,NA,NA
5029,1,NA,NA,NA,NA,NA
5030,1,4,4,0,0,0
5031,1,3,3,54,1505,4350
5032,1,NA,NA,NA,NA,NA
5033,1,NS,NS,NS,NS,NS
5034,1,NA,NA,NA,NA,NA
5035,1,NA,NA,NA,NA,NA
5036,1,NA,NA,NA,NA,NA
5037,1,NA,NA,NA,NA,NA
5038,1,1,1,2,10,45
6001,1,NA,NA,NA,NA,NA
6002,1,NA,NA,NA,NA,NA
6003,1,NSS,NSS,NSS,NSS,NSS
6004,1,NA,NA,NA,NA,NA
6005,1,NA,NA,NA,NA,NA
6006,1,13,13,NS,NS,NS
