ubicageo_c,prevahi_a,rensnn1
1001,1,1
1001,2,2
1001,3,1
1001,4,2
1001,5,1
1001,6,1
1001,7,1
1001,8,1
1001,9,1
1001,10,1
1001,11,1
1002,1,2
1002,2,2
1002,3,2
1002,4,2
1002,5,1
1002,6,1
1002,7,2
1002,8,1
1002,9,1
1002,10,2
1002,11,2
1003,1,2
1003,2,2
1003,3,2
1003,4,2
1003,5,1
1003,6,1
1003,7,2
1003,8,1
1003,9,1
1003,10,1
1003,11,2
1004,1,2
1004,2,2
1004,3,2
1004,4,2
1004,5,2
1004,6,2
1004,7,2
1004,8,2
1004,9,1
1004,10,2
1004,11,2
1005,1,2
1005,2,2
1005,3,2
1005,4,2
1005,5,1
1005,6,1
1005,7,1
1005,8,2
1005,9,1
1005,10,1
1005,11,2
1006,1,2
1006,2,2
1006,3,2
1006,4,2
1006,5,1
1006,6,1
1006,7,1
1006,8,1
1006,9,1
1006,10,1
1006,11,2
1007,1,2
1007,2,2
1007,3,2
1007,4,2
1007,5,1
1007,6,2
1007,7,2
1007,8,2
1007,9,1
1007,10,2
1007,11,2
1008,1,2
1008,2,2
1008,3,2
1008,4,2
1008,5,2
1008,6,2
1008,7,1
1008,8,1
1008,9,1
1008,10,1
1008,11,2
1009,1,2
1009,2,2
1009,3,2
1009,4,2
1009,5,2
1009,6,2
1009,7,2
1009,8,2
1009,9,2
1009,10,2
1009,11,2
1010,1,2
1010,2,2
1010,3,1
1010,4,1
1010,5,1
1010,6,1
1010,7,1
1010,8,1
1010,9,1
1010,10,1
1010,11,2
1011,1,2
1011,2,1
1011,3,1
1011,4,1
1011,5,1
1011,6,1
1011,7,1
1011,8,1
1011,9,1
1011,10,1
1011,11,2
2001,1,9
2001,2,9
2001,3,9
2001,4,9
2001,5,9
2001,6,1
2001,7,9
2001,8,9
2001,9,9
2001,10,9
2001,11,2
2002,1,2
2002,2,2
2002,3,2
2002,4,2
2002,5,2
2002,6,2
2002,7,2
2002,8,2
2002,9,2
2002,10,2
2002,11,2
2003,1,2
2003,2,9
2003,3,1
2003,4,9
2003,5,1
2003,6,1
2003,7,9
2003,8,9
2003,9,1
2003,10,1
2003,11,2
2004,1,2
2004,2,2
2004,3,2
2004,4,2
2004,5,1
2004,6,2
2004,7,2
2004,8,2
2004,9,2
2004,10,2
2004,11,2
2005,1,2
2005,2,2
2005,3,2
2005,4,2
2005,5,1
2005,6,1
2005,7,1
2005,8,1
2005,9,1
2005,10,1
2005,11,2
3001,1,1
3001,2,2
3001,3,2
3001,4,2
3001,5,2
3001,6,2
3001,7,2
3001,8,2
3001,9,1
3001,10,1
3001,11,2
3002,1,2
3002,2,2
3002,3,2
3002,4,2
3002,5,2
3002,6,2
3002,7,2
3002,8,2
3002,9,2
3002,10,2
3002,11,2
3003,1,2
3003,2,2
3003,3,2
3003,4,2
3003,5,2
3003,6,1
3003,7,2
3003,8,2
3003,9,1
3003,10,2
3003,11,2
3008,1,1
3008,2,1
3008,3,2
3008,4,2
3008,5,2
3008,6,1
3008,7,2
3008,8,2
3008,9,1
3008,10,1
3008,11,2
3009,1,2
3009,2,2
3009,3,2
3009,4,1
3009,5,2
3009,6,1
3009,7,1
3009,8,1
3009,9,1
3009,10,1
3009,11,2
4001,1,2
4001,2,2
4001,3,2
4001,4,2
4001,5,2
4001,6,1
4001,7,2
4001,8,2
4001,9,2
4001,10,1
4001,11,2
4002,1,2
4002,2,1
4002,3,2
4002,4,1
4002,5,1
4002,6,1
4002,7,2
4002,8,2
4002,9,1
4002,10,2
4002,11,2
4003,1,2
4003,2,2
4003,3,2
4003,4,2
4003,5,2
4003,6,2
4003,7,2
4003,8,2
4003,9,1
4003,10,1
4003,11,2
4004,1,2
4004,2,2
4004,3,2
4004,4,2
4004,5,2
4004,6,2
4004,7,2
4004,8,2
4004,9,2
4004,10,2
4004,11,2
4005,1,2
4005,2,2
4005,3,2
4005,4,2
4005,5,2
4005,6,2
4005,7,2
4005,8,2
4005,9,2
4005,10,2
4005,11,2
4006,1,2
4006,2,2
4006,3,2
4006,4,2
4006,5,1
4006,6,2
4006,7,2
4006,8,2
4006,9,2
4006,10,2
4006,11,2
4007,1,2
4007,2,2
4007,3,2
4007,4,2
4007,5,2
4007,6,2
4007,7,1
4007,8,1
4007,9,1
4007,10,2
4007,11,2
4008,1,2
4008,2,2
4008,3,2
4008,4,2
4008,5,2
4008,6,2
4008,7,2
4008,8,2
4008,9,1
4008,10,2
4008,11,2
4009,1,2
4009,2,2
4009,3,2
4009,4,2
4009,5,1
4009,6,2
4009,7,2
4009,8,2
4009,9,1
4009,10,2
4009,11,2
4010,1,1
4010,2,2
4010,3,2
4010,4,2
4010,5,1
4010,6,2
4010,7,2
4010,8,2
4010,9,1
4010,10,2
4010,11,2
4011,1,1
4011,2,2
4011,3,2
4011,4,2
4011,5,2
4011,6,2
4011,7,2
4011,8,2
4011,9,2
4011,10,2
4011,11,2
5001,1,1
5001,2,2
5001,3,2
5001,4,2
5001,5,2
5001,6,2
5001,7,2
5001,8,2
5001,9,2
5001,10,2
5001,11,2
5002,1,2
5002,2,2
5002,3,2
5002,4,2
5002,5,2
5002,6,2
5002,7,2
5002,8,2
5002,9,1
5002,10,2
5002,11,2
5003,1,1
5003,2,2
5003,3,1
5003,4,2
5003,5,1
5003,6,2
5003,7,2
5003,8,2
5003,9,1
5003,10,1
5003,11,2
5004,1,2
5004,2,2
5004,3,2
5004,4,1
5004,5,1
5004,6,1
5004,7,2
5004,8,1
5004,9,1
5004,10,2
5004,11,2
5005,1,2
5005,2,2
5005,3,2
5005,4,2
5005,5,2
5005,6,2
5005,7,2
5005,8,2
5005,9,2
5005,10,2
5005,11,2
5006,1,1
5006,2,2
5006,3,1
5006,4,2
5006,5,2
5006,6,2
5006,7,1
5006,8,1
5006,9,1
5006,10,1
5006,11,2
5007,1,2
5007,2,2
5007,3,1
5007,4,1
5007,5,2
5007,6,2
5007,7,2
5007,8,1
5007,9,2
5007,10,2
5007,11,2
5008,1,2
5008,2,2
5008,3,2
5008,4,2
5008,5,2
5008,6,2
5008,7,2
5008,8,2
5008,9,2
5008,10,2
5008,11,2
5009,1,2
5009,2,2
5009,3,2
5009,4,1
5009,5,1
5009,6,2
5009,7,1
5009,8,2
5009,9,1
5009,10,1
5009,11,2
5010,1,2
5010,2,2
5010,3,2
5010,4,2
5010,5,2
5010,6,1
5010,7,2
5010,8,2
5010,9,1
5010,10,2
5010,11,2
5011,1,2
5011,2,2
5011,3,2
5011,4,2
5011,5,1
5011,6,1
5011,7,1
5011,8,2
5011,9,1
5011,10,1
5011,11,2
5012,1,2
5012,2,2
5012,3,2
5012,4,2
5012,5,2
5012,6,2
5012,7,2
5012,8,2
5012,9,2
5012,10,2
5012,11,2
5013,1,2
5013,2,2
5013,3,2
5013,4,2
5013,5,1
5013,6,2
5013,7,2
5013,8,2
5013,9,2
5013,10,2
5013,11,2
5014,1,2
5014,2,2
5014,3,2
5014,4,2
5014,5,1
5014,6,1
5014,7,2
5014,8,2
5014,9,1
5014,10,2
5014,11,2
5015,1,2
5015,2,1
5015,3,2
5015,4,2
5015,5,1
5015,6,2
5015,7,2
5015,8,2
5015,9,1
5015,10,1
5015,11,2
5016,1,2
5016,2,2
5016,3,2
5016,4,2
5016,5,2
5016,6,2
5016,7,2
5016,8,2
5016,9,2
5016,10,2
5016,11,2
5017,1,2
5017,2,2
5017,3,2
5017,4,2
5017,5,2
5017,6,2
5017,7,2
5017,8,2
5017,9,2
5017,10,2
5017,11,2
5018,1,2
5018,2,2
5018,3,2
5018,4,2
5018,5,1
5018,6,1
5018,7,2
5018,8,2
5018,9,1
5018,10,2
5018,11,2
5019,1,2
5019,2,2
5019,3,2
5019,4,2
5019,5,2
5019,6,2
5019,7,2
5019,8,2
5019,9,1
5019,10,2
5019,11,2
5020,1,1
5020,2,2
5020,3,2
5020,4,1
5020,5,1
5020,6,1
5020,7,1
5020,8,1
5020,9,1
5020,10,1
5020,11,2
5021,1,2
5021,2,2
5021,3,2
5021,4,2
5021,5,2
5021,6,2
5021,7,2
5021,8,2
5021,9,2
5021,10,2
5021,11,2
5022,1,2
5022,2,2
5022,3,2
5022,4,2
5022,5,2
5022,6,2
5022,7,2
5022,8,2
5022,9,1
5022,10,2
5022,11,2
5023,1,2
5023,2,2
5023,3,2
5023,4,2
5023,5,2
5023,6,2
5023,7,2
5023,8,2
5023,9,2
5023,10,2
5023,11,2
5024,1,1
5024,2,2
5024,3,2
5024,4,2
5024,5,1
5024,6,1
5024,7,2
5024,8,1
5024,9,1
5024,10,1
5024,11,2
5025,1,2
5025,2,1
5025,3,2
5025,4,2
5025,5,1
5025,6,2
5025,7,2
5025,8,1
5025,9,1
5025,10,2
5025,11,2
5026,1,2
5026,2,2
5026,3,2
5026,4,2
5026,5,2
5026,6,2
5026,7,2
5026,8,2
5026,9,2
5026,10,2
5026,11,2
5027,1,2
5027,2,2
5027,3,2
5027,4,2
5027,5,1
5027,6,1
5027,7,2
5027,8,2
5027,9,1
5027,10,2
5027,11,2
5028,1,1
5028,2,1
5028,3,1
5028,4,1
5028,5,1
5028,6,1
5028,7,1
5028,8,1
5028,9,1
5028,10,1
5028,11,2
5029,1,2
5029,2,2
5029,3,2
5029,4,2
5029,5,2
5029,6,2
5029,7,2
5029,8,2
5029,9,2
5029,10,2
5029,11,2
5030,1,2
5030,2,2
5030,3,2
5030,4,2
5030,5,1
5030,6,2
5030,7,2
5030,8,2
5030,9,1
5030,10,2
5030,11,2
5031,1,1
5031,2,2
5031,3,1
5031,4,1
5031,5,1
5031,6,1
5031,7,2
5031,8,2
5031,9,1
5031,10,2
5031,11,2
5032,1,2
5032,2,2
5032,3,2
5032,4,2
5032,5,2
5032,6,2
5032,7,2
5032,8,2
5032,9,2
5032,10,2
5032,11,2
5033,1,2
5033,2,2
5033,3,2
5033,4,2
5033,5,2
5033,6,1
5033,7,2
5033,8,2
5033,9,1
5033,10,2
5033,11,2
5034,1,2
5034,2,2
5034,3,2
5034,4,2
5034,5,2
5034,6,2
5034,7,2
5034,8,2
5034,9,2
5034,10,2
5034,11,2
5035,1,2
5035,2,2
5035,3,2
5035,4,2
5035,5,2
5035,6,2
5035,7,2
5035,8,2
5035,9,1
5035,10,2
5035,11,2
5036,1,2
5036,2,2
5036,3,2
5036,4,2
5036,5,2
5036,6,2
5036,7,2
5036,8,2
5036,9,2
5036,10,2
5036,11,2
5037,1,2
5037,2,2
5037,3,2
5037,4,2
5037,5,2
5037,6,2
5037,7,2
5037,8,2
5037,9,2
5037,10,2
5037,11,2
5038,1,2
5038,2,2
5038,3,2
5038,4,2
5038,5,2
5038,6,2
5038,7,2
5038,8,2
5038,9,2
5038,10,2
5038,11,2
6001,1,2
6001,2,2
6001,3,2
6001,4,9
6001,5,2
6001,6,2
6001,7,2
6001,8,2
